Date,Open,High,Low,Close
19/06/2018,52.139999,52.950001,51.880001,52.93
20/06/2018,53.189999,53.75,52.689999,53.459999
21/06/2018,54.380001,54.529999,51.939999,52.189999
22/06/2018,52.619999,53.09,52.299999,52.5
25/06/2018,51.169998,51.75,49.91,50.709999
26/06/2018,49.950001,50.41,49.360001,49.669998
27/06/2018,49.34,50.060001,48.75,48.759998
28/06/2018,48.580002,49.490002,48.5,49.25
29/06/2018,49.529999,50.110001,49.5,49.709999
02/07/2018,49.040001,50.27,48.830002,50.200001
03/07/2018,50.580002,50.860001,49.43,49.470001
05/07/2018,49.98,50.959999,49.75,50.75
06/07/2018,50.77,51.5,50.400002,51.369999
09/07/2018,51.639999,51.889999,51,51.860001
10/07/2018,52.099998,52.259998,51.84,52.16
11/07/2018,51.689999,51.869999,51.189999,51.200001
12/07/2018,52.049999,52.48,51.73,52.349998
13/07/2018,52.400002,52.419998,51.759998,52.220001
16/07/2018,52.150002,52.32,51.869999,52.009998
17/07/2018,51.049999,51.880001,51.009998,51.75
18/07/2018,51.869999,51.970001,51.470001,51.720001
19/07/2018,51.599998,52.009998,51.049999,51.98
20/07/2018,51.830002,52.07,51.330002,51.91
23/07/2018,51.77,52.5,51.330002,52.310001
24/07/2018,52.759998,53.299999,52.080002,52.18
25/07/2018,52.209999,52.450001,51.09,52.43
26/07/2018,52.450001,53.18,51.869999,52.16
27/07/2018,48.759998,49.200001,47.48,47.68
30/07/2018,47.630001,47.990002,46.43,47.689999
31/07/2018,48.240002,48.68,47.689999,48.099998
01/08/2018,48.060001,48.91,48,48.810001
02/08/2018,48.5,49.52,48.200001,49.48
03/08/2018,49.5,49.779999,49.169998,49.630001
06/08/2018,48.77,49.310001,48.32,49.299999
07/08/2018,49.43,49.830002,49.41,49.700001
08/08/2018,49.599998,50.130001,49.439999,49.959999
09/08/2018,49.860001,50.599998,49.720001,50.139999
10/08/2018,48.509998,49.169998,48.299999,48.849998
13/08/2018,48.919998,49.240002,48.380001,48.450001
14/08/2018,48.669998,48.759998,47.650002,48.119999
15/08/2018,47.779999,48,46.900002,47.459999
16/08/2018,47.75,47.950001,47.049999,47.169998
17/08/2018,47,47.389999,46.330002,47.099998
20/08/2018,47.049999,47.119999,46.189999,46.5
21/08/2018,46.66,47.849998,46.639999,47.619999
22/08/2018,47.25,47.349998,46.919998,47.049999
23/08/2018,46.860001,47.169998,46.709999,46.98
24/08/2018,47.290001,47.889999,47.080002,47.66
27/08/2018,48,48.389999,47.630001,48.349998
28/08/2018,48.549999,48.790001,48.310001,48.57
29/08/2018,48.700001,48.860001,48.400002,48.75
30/08/2018,48.52,48.830002,48.09,48.240002
31/08/2018,47.959999,48.560001,47.919998,48.43
04/09/2018,48.380001,48.43,47.560001,47.959999
05/09/2018,47.75,48.119999,47.470001,47.720001
06/09/2018,47.759998,47.959999,47.209999,47.259998
07/09/2018,46.91,47.48,46.360001,46.450001
10/09/2018,46.560001,46.759998,46.23,46.299999
11/09/2018,46,46.029999,44.889999,44.93
12/09/2018,44.560001,44.98,44.060001,44.93
13/09/2018,45.68,45.849998,45.110001,45.57
14/09/2018,45.779999,45.970001,45.349998,45.540001
17/09/2018,45.290001,45.900002,45.189999,45.419998
18/09/2018,45.580002,46.529999,45.41,46.099998
19/09/2018,46.09,46.439999,45.889999,46.150002
20/09/2018,46.779999,47.360001,46.52,47.200001
21/09/2018,47.119999,47.419998,46.369999,46.66
24/09/2018,46.310001,47,46.150002,46.91
25/09/2018,46.220001,46.389999,45.799999,45.91
26/09/2018,46.040001,46.299999,45.580002,45.700001
27/09/2018,45.91,46.169998,45.73,45.880001
28/09/2018,45.619999,47.75,45.459999,47.290001
01/10/2018,46.790001,47.220001,46.200001,46.450001
02/10/2018,47.509998,48.880001,47.32,48.099998
03/10/2018,48.619999,49.720001,48.560001,48.759998
04/10/2018,48.84,48.860001,47.619999,48.130001
05/10/2018,48.23,48.34,46.66,47.029999
08/10/2018,46.959999,47.349998,46.52,47.029999
09/10/2018,47.18,47.619999,46.540001,46.549999
10/10/2018,46.060001,46.119999,45.119999,45.169998
